fileName,modelAtmosphere,pathType,surfaceAlbedo,surfaceTemperature,albedoFilename,targetLabel,backgroundLabel,visibility,groundAltitude,sensorAltitude,targetAltitude,sensorZenith,sensorAzimuth,dZenith,dAzimuth,dayNumber,extraterrestrialSource,latitude,longitude,timeUTC,startingWavelength,endingWavelength,wavelengthIncrement,fwhm,key
tape5,2,2,,303.15,spec_alb.dat,green felt,"constant, 18%",0.0,0.168,0.28231,100.0,0.0,0.0,2.5,5,312,0,43.041,77.698,15.0,0.3,1.2,0.001,0.001,0
Target Norm Blue,Target Norm Green,Target Norm Red,Target Norm RE,Target Norm IR,radianceType,Downwelling Norm Blue,Downwelling Norm Green,Downwelling Norm Red,Downwelling Norm RE,Downwelling Norm IR,radianceType
0.00109421756734,0.0010423389106,0.000501105216304,0.00043621860611,0.00181081157716,Target,0.0,0.0,0.0,0.0,0.0,Downwelling
wavelengths,tgtSolScat,groundReflect,directReflect,estDownwell,totalRadiance,sumSolScat,Norm Blue,Norm Green,Norm Red,Norm RE,Norm IR
0.429,0.0001153,0.00046644,0.00014602,0.00032042,0.00058173,0.0,3299000.0,2058000.0,1052000.0,5347000.0,44700.0
0.43,9.2074e-05,0.00037254,0.00011731,0.00025523,0.00046461,0.0,3050000.0,2020000.0,460000.0,5040000.0,0.0
0.431,8.1696e-05,0.00033044,0.00010473,0.00022571,0.00041213,0.0,3328000.0,1959000.0,468900.0,5001000.0,124000.0
0.432,0.00014646,0.00059214,0.00018876,0.00040338,0.0007386,0.0,3606000.0,1898000.0,477800.0,4962000.0,248000.0
0.433,0.0001298,0.00052604,0.00016875,0.00035729,0.00065584,0.0,3884000.0,1837000.0,486700.0,4923000.0,372000.0
0.434,0.00012332,0.00050153,0.00016175,0.00033978,0.00062485,0.0,4162000.0,1776000.0,495600.0,4884000.0,496000.0
0.435,0.0001322,0.00054004,0.0001752,0.00036484,0.00067224,0.0,4440000.0,1715000.0,504500.0,4845000.0,620000.0
0.436,0.00014669,0.00060191,0.00019641,0.0004055,0.00074861,0.0,4718000.0,1654000.0,513400.0,4806000.0,744000.0
0.437,0.000147,0.00060574,0.00019875,0.00040699,0.00075274,0.0,4996000.0,1593000.0,522300.0,4767000.0,868000.0
0.438,0.00013224,0.00054694,0.00018046,0.00036648,0.00067918,0.0,5274000.0,1532000.0,531200.0,4728000.0,992000.0
0.439,0.00012561,0.00052093,0.00017291,0.00034802,0.00064654,0.0,5552000.0,1471000.0,540100.0,4689000.0,1116000.0
0.44,0.00014058,0.00058526,0.0001953,0.00038996,0.00072584,0.0,5830000.0,1410000.0,549000.0,4650000.0,1240000.0
0.441,0.00014019,0.00058619,0.00019669,0.0003895,0.00072639,0.0,5663000.0,1269000.0,494100.0,4522000.0,1153900.0
0.442,0.00014603,0.0006133,0.00020691,0.00040639,0.00075933,0.0,5496000.0,1128000.0,439200.0,4394000.0,1067800.0
0.443,0.00014648,0.00061888,0.00021002,0.00040886,0.00076536,0.0,5329000.0,987000.0,384300.0,4266000.0,981700.0
0.444,0.0001446,0.00061454,0.00020955,0.00040499,0.00075914,0.0,5162000.0,846000.0,329400.0,4138000.0,895600.0
0.445,0.00015218,0.00065091,0.00022315,0.00042776,0.00080309,0.0,4995000.0,705000.0,274500.0,4010000.0,809500.0
0.446,0.00013449,0.00057974,0.00019979,0.00037995,0.00071423,0.0,4828000.0,564000.0,219600.0,3882000.0,723400.0
0.447,0.00015268,0.00066251,0.00022938,0.00043313,0.00081518,0.0,4661000.0,423000.0,164700.0,3754000.0,637300.0
0.448,0.00015463,0.00067586,0.00023518,0.00044068,0.0008305,0.0,4494000.0,282000.0,109800.0,3626000.0,551200.0
0.449,0.00015541,0.00068681,0.0002402,0.00044661,0.00084222,0.0,4327000.0,141000.0,54900.0,3498000.0,465100.0
0.45,0.00015769,0.00070232,0.00024685,0.00045547,0.00086001,0.0,4160000.0,0.0,0.0,3370000.0,379000.0
0.451,0.00016988,0.00076243,0.00026927,0.00049316,0.00093231,0.0,43644000.0,242000.0,97700.0,3237000.0,455100.0
0.452,0.00015732,0.00071416,0.00025345,0.00046071,0.00087148,0.0,83128000.0,484000.0,195400.0,3104000.0,531200.0
0.453,0.00014449,0.00066229,0.00023618,0.00042611,0.00080678,0.0,122612000.0,726000.0,293100.0,2971000.0,607300.0
0.454,0.00015458,0.00071649,0.00025675,0.00045974,0.00087107,0.0,162096000.0,968000.0,390800.0,2838000.0,683400.0
0.455,0.00015445,0.00072524,0.00026112,0.00046412,0.00087969,0.0,201580000.0,1210000.0,488500.0,2705000.0,759500.0
0.456,0.00015766,0.00074866,0.00027082,0.00047784,0.00090633,0.0,241064000.0,1452000.0,586200.0,2572000.0,835600.0
0.457,0.00015849,0.00076151,0.00027673,0.00048478,0.00092,0.0,280548000.0,1694000.0,683900.0,2439000.0,911700.0
0.458,0.00015337,0.00074629,0.00027243,0.00047386,0.00089966,0.0,320032000.0,1936000.0,781600.0,2306000.0,987800.0
0.459,0.00015439,0.00076087,0.00027906,0.00048181,0.00091527,0.0,359516000.0,2178000.0,879300.0,2173000.0,1063900.0
0.46,0.00015152,0.00075769,0.00027914,0.00047855,0.0009092,0.0,399000000.0,2420000.0,977000.0,2040000.0,1140000.0
0.461,0.00015652,0.00079526,0.00029431,0.00050095,0.00095179,0.0,682100000.0,2250700.0,1256300.0,1925100.0,1220000.0
0.462,0.00015295,0.00078848,0.00029309,0.00049539,0.00094143,0.0,965200000.0,2081400.0,1535600.0,1810200.0,1300000.0
0.463,0.00015228,0.0007967,0.00029743,0.00049927,0.00094897,0.0,1248300000.0,1912100.0,1814900.0,1695300.0,1380000.0
0.464,0.00015294,0.00081267,0.00030475,0.00050792,0.00096562,0.0,1531400000.0,1742800.0,2094200.0,1580400.0,1460000.0
0.465,0.00014976,0.0008081,0.00030431,0.00050379,0.00095787,0.0,1814500000.0,1573500.0,2373500.0,1465500.0,1540000.0
0.466,0.00015358,0.00084109,0.00031807,0.00052302,0.00099468,0.0,2097600000.0,1404200.0,2652800.0,1350600.0,1620000.0
0.467,0.00014823,0.00082391,0.00031289,0.00051102,0.00097213,0.0,2380700000.0,1234900.0,2932100.0,1235700.0,1700000.0
0.468,0.00015591,0.00087996,0.00033559,0.00054437,0.0010359,0.0,2663800000.0,1065600.0,3211400.0,1120800.0,1780000.0
